day,totalCount,chinkCount,buglandCount,chankaroCount,chinaziCount,gookCount,insectoidCount,bugmenCount,chingchongCount,chinkFreq,buglandFreq,chankaroFreq,chinaziFreq,gookFreq,insectoidFreq,bugmenFreq,chingchongFreq
2019-11-01,334191,10.0,0.0,0.0,16.0,5.0,0.0,0.0,0.0,2.992300810015829e-05,0.0,0.0,4.787681296025327e-05,1.4961504050079146e-05,0.0,0.0,0.0
2019-11-02,423985,19.0,0.0,0.0,38.0,11.0,0.0,0.0,2.0,4.4812906116961686e-05,0.0,0.0,8.962581223392337e-05,2.594431406771466e-05,0.0,0.0,4.717148012311757e-06
2019-11-03,432229,20.0,0.0,0.0,40.0,7.0,0.0,0.0,6.0,4.6271767974846664e-05,0.0,0.0,9.254353594969333e-05,1.6195118791196335e-05,0.0,0.0,1.3881530392454e-05
2019-11-04,449904,18.0,0.0,0.0,35.0,10.0,1.0,1.0,6.0,4.000853515416622e-05,0.0,0.0,7.779437391087876e-05,2.222696397453679e-05,2.222696397453679e-06,2.222696397453679e-06,1.3336178384722074e-05
2019-11-05,138301,1.0,0.0,0.0,12.0,2.0,1.0,0.0,1.0,7.230605707840146e-06,0.0,0.0,8.676726849408175e-05,1.4461211415680292e-05,7.230605707840146e-06,0.0,7.230605707840146e-06
2019-11-06,315162,13.0,0.0,0.0,13.0,5.0,0.0,0.0,1.0,4.124862768988647e-05,0.0,0.0,4.124862768988647e-05,1.586485680380249e-05,0.0,0.0,3.1729713607604978e-06
2019-11-07,450636,22.0,0.0,0.0,23.0,7.0,0.0,0.0,2.0,4.881989011086553e-05,0.0,0.0,5.1038976024995784e-05,1.553360139891176e-05,0.0,0.0,4.438171828260503e-06
2019-11-08,441759,16.0,0.0,0.0,22.0,16.0,0.0,0.0,1.0,3.621884330596547e-05,0.0,0.0,4.980090954570252e-05,3.621884330596547e-05,0.0,0.0,2.263677706622842e-06
2019-11-09,424623,11.0,0.0,0.0,19.0,5.0,0.0,1.0,4.0,2.5905332494942573e-05,0.0,0.0,4.4745574309446265e-05,1.1775151134064805e-05,0.0,2.355030226812961e-06,9.420120907251844e-06
2019-11-10,435942,14.0,0.0,0.0,11.0,10.0,0.0,1.0,4.0,3.211436383739121e-05,0.0,0.0,2.5232714443664523e-05,2.2938831312422295e-05,0.0,2.2938831312422295e-06,9.175532524968918e-06
2019-11-11,444707,16.0,0.0,0.0,40.0,16.0,0.0,0.0,3.0,3.5978745556062755e-05,0.0,0.0,8.994686389015689e-05,3.5978745556062755e-05,0.0,0.0,6.746014791761767e-06
2019-11-12,457013,19.0,0.0,0.0,38.0,13.0,0.0,1.0,3.0,4.1574309702349824e-05,0.0,0.0,8.314861940469965e-05,2.8445580322660406e-05,0.0,2.1881215632815697e-06,6.564364689844709e-06
2019-11-13,465077,17.0,0.0,0.0,43.0,7.0,0.0,0.0,3.0,3.65530869081894e-05,0.0,0.0,9.245780806189082e-05,1.5051271079842693e-05,0.0,0.0,6.450544748504011e-06
2019-11-14,459986,14.0,0.0,0.0,29.0,10.0,0.0,0.0,4.0,3.0435708912879956e-05,0.0,0.0,6.304539703382277e-05,2.173979208062854e-05,0.0,0.0,8.695916832251416e-06
2019-11-15,474368,15.0,0.0,0.0,19.0,13.0,0.0,1.0,3.0,3.1621019967620074e-05,0.0,0.0,4.005329195898543e-05,2.7404883971937397e-05,0.0,2.1080679978413384e-06,6.324203993524015e-06
2019-11-16,416341,19.0,0.0,0.0,28.0,15.0,1.0,0.0,4.0,4.563566883876438e-05,0.0,0.0,6.725256460449487e-05,3.6028159609550824e-05,2.4018773073033883e-06,0.0,9.607509229213553e-06
2019-11-17,429807,18.0,0.0,0.0,44.0,12.0,0.0,0.0,3.0,4.187926208740202e-05,0.0,0.0,0.00010237152954698272,2.7919508058268014e-05,0.0,0.0,6.9798770145670036e-06
2019-11-18,432818,12.0,0.0,0.0,32.0,10.0,0.0,0.0,5.0,2.7725279447712433e-05,0.0,0.0,7.393407852723315e-05,2.310439953976036e-05,0.0,0.0,1.155219976988018e-05
2019-11-19,458978,20.0,0.0,0.0,20.0,8.0,0.0,0.0,3.0,4.357507331506085e-05,0.0,0.0,4.357507331506085e-05,1.743002932602434e-05,0.0,0.0,6.536260997259128e-06
2019-11-20,476783,14.0,0.0,0.0,30.0,11.0,0.0,1.0,3.0,2.9363463042935676e-05,0.0,0.0,6.292170652057645e-05,2.307129239087803e-05,0.0,2.0973902173525483e-06,6.292170652057644e-06
2019-11-21,467607,14.0,0.0,0.0,14.0,10.0,0.0,0.0,5.0,2.9939671561802966e-05,0.0,0.0,2.9939671561802966e-05,2.1385479687002118e-05,0.0,0.0,1.0692739843501059e-05
2019-11-22,451763,16.0,0.0,0.0,13.0,3.0,2.0,1.0,3.0,3.5416800401980684e-05,0.0,0.0,2.8776150326609305e-05,6.640650075371378e-06,4.4271000502475855e-06,2.2135500251237928e-06,6.640650075371378e-06
2019-11-23,430758,17.0,0.0,0.0,11.0,10.0,0.0,0.0,1.0,3.9465314631417175e-05,0.0,0.0,2.553638005562288e-05,2.321489095965716e-05,0.0,0.0,2.3214890959657163e-06
2019-11-24,435530,8.0,0.0,0.0,12.0,13.0,0.0,0.0,6.0,1.8368424677978555e-05,0.0,0.0,2.755263701696783e-05,2.9848690101715152e-05,0.0,0.0,1.3776318508483915e-05
