day,totalCount,chinkCount,buglandCount,chankaroCount,chinaziCount,gookCount,insectoidCount,bugmenCount,chingchongCount,chinkFreq,buglandFreq,chankaroFreq,chinaziFreq,gookFreq,insectoidFreq,bugmenFreq,chingchongFreq
2019-11-03,1190405,49.0,0.0,0.0,94.0,23.0,0.0,0.0,8.0,4.1162461515198606e-05,0.0,0.0,7.8964722090381e-05,1.9321155405093223e-05,0.0,0.0,6.720401880032426e-06
2019-11-10,2656327,95.0,0.0,0.0,135.0,55.0,2.0,3.0,19.0,3.5763669156696446e-05,0.0,0.0,5.082205617004232e-05,2.0705282143350572e-05,7.529193506672936e-07,1.1293790260009403e-06,7.152733831339289e-06
2019-11-17,3147299,118.0,0.0,0.0,241.0,86.0,1.0,2.0,23.0,3.7492465761912036e-05,0.0,0.0,7.657359532729493e-05,2.7325017419698605e-05,3.1773276069416984e-07,6.354655213883397e-07,7.307853495965906e-06
2019-11-24,3154237,101.0,0.0,0.0,132.0,65.0,2.0,2.0,26.0,3.202042205452539e-05,0.0,0.0,4.184847238809259e-05,2.060720231231832e-05,6.340677634559483e-07,6.340677634559483e-07,8.242880924927328e-06
2019-12-01,3103457,121.0,0.0,0.0,74.0,63.0,2.0,0.0,16.0,3.8988779287098224e-05,0.0,0.0,2.3844377415250156e-05,2.029994293460486e-05,6.444426328445988e-07,0.0,5.15554106275679e-06
2019-12-08,1469490,59.0,0.0,0.0,40.0,42.0,0.0,0.0,7.0,4.014998400805722e-05,0.0,0.0,2.722032814105574e-05,2.858134454810853e-05,0.0,0.0,4.763557424684754e-06
2019-12-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2019-12-22,929178,42.0,0.0,0.0,35.0,26.0,2.0,0.0,6.0,4.520124238843365e-05,0.0,0.0,3.766770199036137e-05,2.798172147855416e-05,2.1524401137349354e-06,0.0,6.457320341204807e-06
2019-12-29,2960902,157.0,0.0,0.0,106.0,50.0,2.0,2.0,18.0,5.3024382434812096e-05,0.0,0.0,3.579990151649734e-05,1.68867459983478e-05,6.754698399339121e-07,6.754698399339121e-07,6.079228559405208e-06
2020-01-05,3297658,152.0,1.0,0.0,60.0,45.0,3.0,2.0,15.0,4.609331834896159e-05,3.032455154536947e-07,0.0,1.8194730927221684e-05,1.3646048195416262e-05,9.097365463610842e-07,6.064910309073894e-07,4.548682731805421e-06
2020-01-12,295288,9.0,0.0,0.0,6.0,4.0,1.0,0.0,6.0,3.0478719081032754e-05,0.0,0.0,2.0319146054021836e-05,1.354609736934789e-05,3.3865243423369727e-06,0.0,2.0319146054021836e-05
2020-01-19,829157,27.0,0.0,0.0,13.0,20.0,0.0,0.0,10.0,3.2563193701554714e-05,0.0,0.0,1.567857474519301e-05,2.412088422337386e-05,0.0,0.0,1.206044211168693e-05
2020-01-26,1941283,104.0,0.0,0.0,27.0,34.0,3.0,3.0,39.0,5.3572817564466384e-05,0.0,0.0,1.3908327636928774e-05,1.7514190357614012e-05,1.5453697374365304e-06,1.5453697374365304e-06,2.0089806586674896e-05
2020-02-02,3360954,175.0,0.0,0.0,52.0,109.0,3.0,1.0,49.0,5.206854958443347e-05,0.0,0.0,1.5471797590803087e-05,3.24312680268757e-05,8.926037071617166e-07,2.9753456905390554e-07,1.4579193883641371e-05
2020-02-09,3392533,145.0,0.0,0.0,40.0,61.0,0.0,1.0,20.0,4.274092543830819e-05,0.0,0.0,1.1790600120912605e-05,1.798066518439172e-05,0.0,2.947650030228151e-07,5.8953000604563025e-06
2020-02-16,3295142,126.0,0.0,0.0,50.0,80.0,3.0,4.0,14.0,3.8238109313650216e-05,0.0,0.0,1.5173852902242149e-05,2.427816464358744e-05,9.10431174134529e-07,1.2139082321793719e-06,4.248678812627802e-06
2020-02-23,3328101,135.0,0.0,0.0,46.0,91.0,3.0,3.0,14.0,4.056367279718975e-05,0.0,0.0,1.382169591607947e-05,2.7342920181809385e-05,9.014149510486611e-07,9.014149510486611e-07,4.206603104893752e-06
2020-03-01,3310793,137.0,0.0,0.0,58.0,76.0,2.0,1.0,24.0,4.137981444324668e-05,0.0,0.0,1.751846158911173e-05,2.29552255305602e-05,6.040848823831632e-07,3.020424411915816e-07,7.249018588597958e-06
2020-03-08,3317863,114.0,0.0,0.0,48.0,87.0,0.0,2.0,18.0,3.435946571633609e-05,0.0,0.0,1.4467143459509931e-05,2.622169752036175e-05,0.0,6.027976441462471e-07,5.425178797316225e-06
2020-03-15,3548354,152.0,0.0,0.0,63.0,113.0,2.0,2.0,29.0,4.283676318653663e-05,0.0,0.0,1.7754711057577683e-05,3.184575157946473e-05,5.63641620875482e-07,5.63641620875482e-07,8.172803502694488e-06
2020-03-22,4034064,214.0,1.0,0.0,81.0,99.0,3.0,1.0,75.0,5.304824117812707e-05,2.478889774678835e-07,0.0,2.0079007174898563e-05,2.4541008769320466e-05,7.436669324036506e-07,2.478889774678835e-07,1.8591673310091264e-05
2020-03-29,4286165,270.0,0.0,0.0,47.0,115.0,1.0,0.0,27.0,6.299337519670848e-05,0.0,0.0,1.0965513460167773e-05,2.6830511657857314e-05,2.3330879702484622e-07,0.0,6.299337519670848e-06
2020-04-05,4218528,250.0,0.0,0.0,42.0,117.0,1.0,3.0,24.0,5.9262377777272073e-05,0.0,0.0,9.956079466581708e-06,2.773479279976333e-05,2.3704951110908828e-07,7.111485333272649e-07,5.689188266618119e-06
2020-04-12,4284564,195.0,0.0,0.0,55.0,132.0,3.0,4.0,31.0,4.551221547863447e-05,0.0,0.0,1.2836778724743054e-05,3.080826893938333e-05,7.001879304405302e-07,9.335839072540403e-07,7.235275281218813e-06
2020-04-19,4445305,228.0,0.0,0.0,101.0,166.0,2.0,3.0,28.0,5.1290068960397544e-05,0.0,0.0,2.2720600723684876e-05,3.734276950625435e-05,4.499128856175223e-07,6.748693284262834e-07,6.298780398645312e-06
2020-04-26,4305169,218.0,0.0,0.0,50.0,138.0,2.0,2.0,24.0,5.0636804269472345e-05,0.0,0.0,1.1613945933365217e-05,3.2054490776088e-05,4.645578373346087e-07,4.645578373346087e-07,5.574694048015305e-06
2020-05-03,1976533,103.0,0.0,0.0,14.0,68.0,0.0,1.0,9.0,5.211144969499624e-05,0.0,0.0,7.083109667281042e-06,3.440367552679363e-05,0.0,5.059364048057887e-07,4.553427643252098e-06
